Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:72W93VrqRaDiyn3FushDXO,"Yuri-G","Rid Of Me","PJ Harvey",1993-01-01,208226,34,false,rwinj,2024-10-27T04:40:48Z,"art pop,singer-songwriter","Universal-Island Records Ltd.",0.55,0.487,6,-17.308,1,0.0538,0.00179,0.422,0.0558,0.949,141.844,4
spotify:track:1n9lGvOA1TKBvwVQ4tpB2o,"Pulled Up - 2005 Remaster","Talking Heads '77 (Deluxe Version)","Talking Heads",1977-09-16,271346,42,false,rwinj,2024-10-27T04:41:13Z,"new wave,post-punk","Rhino/Warner Records",0.687,0.755,4,-7.215,1,0.0422,0.118,0.0000136,0.231,0.972,139.857,4
spotify:track:0WQiDwKJclirSYG9v5tayI,"There Is a Light That Never Goes Out - 2011 Remaster","The Queen Is Dead","The Smiths",1986-06-16,244586,85,false,rwinj,2024-10-27T04:41:46Z,"new wave,madchester,jangle pop","WM UK",0.523,0.769,4,-5.855,1,0.0269,0.04,0,0.136,0.876,136.162,4
spotify:track:7qU7vhCPKhkDiJYGoboISc,"Apocalypse Dreams","Lonerism","Tame Impala",2012-01-01,356946,58,false,rwinj,2024-10-27T04:42:23Z,"neo-psychedelic,indie","Modular",0.496,0.929,8,-2.279,1,0.0503,0.249,0.131,0.0677,0.267,127.998,4
spotify:track:0jmKzJmUEKNbC7eU8YfOiA,"Mayonaise - 2011 Remaster","Siamese Dream (Deluxe Edition)","The Smashing Pumpkins",1993,348773,70,false,rwinj,2024-10-27T04:44:20Z,"alternative rock,rock","Virgin Records",0.482,0.528,10,-10.426,1,0.0272,0.000107,0.543,0.0839,0.0882,146.043,4
spotify:track:5tLbWNYxXdGRQQmW7LtWjg,"D.O.A. - 2015 Remaster","Van Halen II (Remastered)","Van Halen",1979-03-23,248866,50,false,rwinj,2024-10-27T04:46:13Z,"glam metal,classic rock,rock,hard rock","Rhino/Warner Records",0.404,0.969,8,-6.817,1,0.115,0.0126,0.0000163,0.179,0.199,140.07,4
spotify:track:2fuYa3Lx06QQJAm0MjztKr,"Let Down","OK Computer","Radiohead",1997-05-28,299560,89,false,rwinj,2024-10-27T04:47:25Z,"art rock,alternative rock","XL Recordings",0.351,0.676,9,-9.017,1,0.0313,0.000121,0.113,0.18,0.143,102.46,4
spotify:track:0teWfbvQtUY4dnnZu1yT4E,"Christine’s Tune","The Gilded Palace Of Sin","The Flying Burrito Brothers",1969-02-06,182733,39,false,rwinj,2024-10-27T04:53:53Z,"country rock,alt country,americana,folk rock","A&M",0.46,0.596,3,-13.037,1,0.042,0.000576,0.39,0.295,0.833,98.426,4
spotify:track:2ecF62pLoKSkRimuBCu8ad,"Slow Turning","Slow Turning","John Hiatt",1988-08-30,215027,42,false,rwinj,2024-10-27T04:54:16Z,"americana,roots rock,country rock,alt country","A&M",0.716,0.825,5,-6.72,1,0.0281,0.176,0.00000174,0.121,0.898,134.752,4
spotify:track:3uHuP8x5QwMfElxYVZ9FTk,"Omegaman","Ghost In The Machine (Remastered 2003)","The Police",1981-10-02,167866,40,false,rwinj,2024-10-27T04:55:10Z,"","Polydor Records",0.286,0.892,5,-7.933,1,0.103,0.00269,0.000658,0.834,0.34,183.332,4
spotify:track:3wgQ2CHoisj6UWUK1EWBEn,"Move Me on Down the Line (2005 Remaster)","Tres Hombres (Expanded 2006 Remaster)","ZZ Top",1973-07-26,151680,39,false,rwinj,2024-10-29T03:33:04Z,"southern rock,classic rock,blues rock,rock","BMG Rights Management (US) LLC",0.465,0.646,4,-8.746,1,0.0431,0.00352,0.014,0.124,0.602,148.617,4
spotify:track:3rzYUfyzdZW96cHXnGn1xI,"What Difference Does It Make? - 2011 Remaster","The Smiths","The Smiths",1984-02-20,229866,67,false,rwinj,2024-10-30T17:57:27Z,"new wave,madchester,jangle pop","WM UK",0.383,0.888,1,-6.503,0,0.037,0.000492,0.000174,0.0479,0.393,163.23,4
spotify:track:0u6lRvvxbrAYEdkUFKmHp6,"Whole Lotta Love (feat. Chris Cornell)","Guitar Heaven: The Greatest Guitar Classics Of All Time (Deluxe Version)","Santana,Chris Cornell",2010-09-20,231360,55,false,rwinj,2024-10-30T17:57:27Z,"grunge","Arista",0.406,0.988,9,-2.72,1,0.0926,0.0437,0.0637,0.0664,0.24,100.038,4
spotify:track:2HkFBa2tIfhQTjacNPrNNN,"No New Tale to Tell","Earth Sun Moon","Love and Rockets",1987-09-07,204133,43,false,rwinj,2024-10-30T17:57:27Z,"new wave,gothic rock,post-punk,deathrock,darkwave","Beggars Banquet",0.444,0.635,0,-5.41,1,0.0627,0.0726,0.00173,0.282,0.54,170.719,4
spotify:track:6aPELjt9ynZqmX40xY4Wtq,"Two Worlds Collide","Revenge of the Goldfish","Inspiral Carpets",1992-10-05,278493,38,false,rwinj,2024-10-30T17:57:27Z,"madchester,britpop","Mute, a BMG Company",0.473,0.714,11,-9.89,0,0.0324,0.00714,0.000146,0.263,0.451,106.022,4
spotify:track:4ImZYT2EsMgcracYQIQ5vH,"Streets of Your Town - Remastered","16 Lovers Lane (Remastered)","The Go-Betweens",2020-02-28,219785,43,false,rwinj,2024-10-30T17:57:27Z,"jangle pop","Beggars Banquet",0.631,0.782,3,-9.446,1,0.0271,0.0329,0.00208,0.323,0.737,131.509,4
spotify:track:2rnyHF5bAPIyifUa1TQfo7,"Nervous Breakthrough","Electric Honey","Luscious Jackson",1999-01-01,227333,25,false,rwinj,2024-10-30T17:57:27Z,"","Capitol Records",0.728,0.892,7,-8.436,0,0.0407,0.0178,0.0000209,0.122,0.784,116.148,4
spotify:track:6DTFmTnazxFGo6SdwSICwv,"Bankrupt On Selling","The Lonesome Crowded West","Modest Mouse",1997-11-18,173773,46,false,rwinj,2024-10-30T17:57:27Z,"indie rock,indie,alternative rock","Glacial Pace Recordings",0.352,0.34,9,-6.66,0,0.0319,0.833,0.0000408,0.159,0.0749,69.791,3
spotify:track:0oiGUMBeL8Bn0csxAl4a1W,"I Only Said","Loveless","my bloody valentine",1991-11-04,334400,46,false,rwinj,2024-11-01T17:48:19Z,"shoegaze,dream pop,slowcore,noise rock","Rhino/Warner Records",0.29,0.84,4,-10.427,1,0.0457,0.388,0.848,0.475,0.229,89.182,4
spotify:track:60m7NOkxFVWWCsm0o93NgX,"Going to Town","Black Love","The Afghan Whigs",1996-03-08,196960,23,false,rwinj,2024-11-05T03:34:55Z,"grunge","Elektra Records",0.577,0.827,9,-4.978,1,0.0497,0.00561,0.0183,0.0929,0.678,114.568,4
spotify:track:2bNOq6aol7JZ0JJtLlg3TK,"Bye Bye Love","The Cars","The Cars",1978-06-06,255160,56,false,rwinj,2024-11-07T00:20:04Z,"power pop,new wave,classic rock","Elektra Records",0.626,0.741,4,-7.817,1,0.0298,0.0378,0.00243,0.282,0.911,126.513,4
spotify:track:7uv632EkfwYhXoqf8rhYrg,"Angel","Mezzanine","Massive Attack,Horace Andy",1998-01-01,379533,81,false,rwinj,2024-11-07T02:54:10Z,"trip hop,downtempo,roots reggae,dub,reggae,rocksteady,lovers rock,ragga","Circa",0.714,0.309,7,-10.796,1,0.0291,0.0157,0.807,0.0777,0.0671,107.346,4
spotify:track:3zNkNyXEeDs2HeAZ0fYqxI,"Porch","Ten","Pearl Jam",1991-08-27,210520,59,true,rwinj,2024-11-13T04:08:11Z,"grunge,rock,post-grunge","Epic/Legacy",0.326,0.935,9,-5.69,1,0.0698,0.00372,0.00000755,0.302,0.17,135.762,4
spotify:track:1rnoM73nG7HsyOqV5X7lPF,"Cuts You Up","Deep","Peter Murphy",1989-05-01,327133,58,false,rwinj,2024-11-18T20:22:37Z,"gothic rock,darkwave,post-punk,deathrock,new wave,synthpop","Beggars Banquet",0.634,0.806,4,-10.725,0,0.0398,0.0237,0.00521,0.104,0.804,134.473,4
spotify:track:46uhVedEJ4501p7m1FzPd5,"She Sells Sanctuary - Long Version","Love (Expanded Edition)","The Cult",2009-08-18,418906,41,false,rwinj,2024-11-18T20:53:07Z,"hard rock,glam metal,gothic rock","Beggars Banquet",0.524,0.74,7,-9.341,1,0.0301,0.000012,0.865,0.101,0.302,139.485,4
spotify:track:32F0zqsDgqpIEYApk2b8sr,"Pure Morning","Without You I'm Nothing","Placebo",1998-10-12,254760,65,false,rwinj,2024-11-18T21:08:26Z,"britpop","Elevator Lady Ltd",0.348,0.898,8,-6.835,1,0.0701,0.0367,0.0000373,0.11,0.2,81.268,4
spotify:track:6XpG30QPzV1wkuUhUMw64l,"I Still Believe (Great Design)","Reconciled","The Call",1986-06-11,331240,36,false,rwinj,2024-11-18T21:45:58Z,"new wave","Elektra Asylum",0.539,0.649,1,-12.521,1,0.0296,0.00772,0.0129,0.0891,0.643,101.327,4
spotify:track:5sNRPeIYoLJU5OSb7lSXPj,"I Against I","I Against I","Bad Brains",2019-07-23,170693,47,false,rwinj,2024-11-21T04:42:02Z,"hardcore punk,punk,hardcore,skate punk,proto-punk","Bad Brains Records",0.344,0.939,5,-11.49,1,0.0598,0.0159,0.00268,0.257,0.439,111.902,4
spotify:track:0ydzLmLxbhYCqkX1NHnM4b,"The Refugee - Remastered 2008","War (Remastered)","U2",1983-02-28,220920,38,false,rwinj,2024-12-03T00:20:14Z,"rock","Universal-Island Records Ltd.",0.562,0.873,4,-7.731,1,0.054,0.0507,0.00000743,0.658,0.911,151.134,4
spotify:track:4cICGoff2F8uTr8JbcGFwt,"New London boy","Nonetheless","Pet Shop Boys",2024-04-26,292964,38,false,rwinj,2024-12-20T05:29:58Z,"synthpop,new wave","Parlophone UK",0.615,0.795,7,-5.488,1,0.0347,0.112,0.00193,0.557,0.622,94.99,4
spotify:track:0MP463h7yiFtZmxQAZKh9r,"You Got Me Searching","You Got Me Searching","Jack White",2024-11-15,218519,41,false,rwinj,2024-12-20T19:42:03Z,"blues rock","Third Man Records/Legacy",0.504,0.891,7,-5.072,1,0.0628,0.0473,0.00571,0.0962,0.495,131.698,4
spotify:track:2sgN6sd7oBwbLLVAOfiH6n,"Show Me","Learning to Crawl (US Release)","Pretenders",1984,248533,25,false,rwinj,2024-12-20T21:47:13Z,"","Rhino/Warner Records",0.552,0.807,0,-11.011,1,0.0437,0.00432,0.442,0.114,0.577,139.314,4
spotify:track:51DZ0wUocQ8sQfjnibXVcD,"Unbelievers","Modern Vampires of the City","Vampire Weekend",2013-05-13,202666,61,false,rwinj,2024-12-22T05:49:12Z,"indie,baroque pop","XL Recordings",0.644,0.81,11,-7.685,1,0.0494,0.142,0.000624,0.169,0.835,154.903,4
spotify:track:1mFxMJ2UZGFow4sx75vJ6Z,"Regulate","Above The Rim (Original Motion Picture Soundtrack) [Deluxe Edition]","Warren G,Nate Dogg",1994-03-22,250013,46,true,rwinj,2024-12-29T17:42:10Z,"g-funk,west coast hip hop,old school hip hop,gangster rap","Death Row Records/gamma.",0.758,0.796,4,-7.98,0,0.148,0.352,0.0000275,0.105,0.785,95.831,4
spotify:track:52s6Ea6aSZMvPUIH0dSpk4,"Mirror Man","Fascination!","The Human League",1983,230373,53,false,rwinj,2025-01-15T18:36:14Z,"new wave,synthpop","Virgin Catalogue",0.634,0.615,0,-11.145,1,0.0412,0.0635,0.000051,0.0551,0.519,133.601,4
spotify:track:5ZIDI3l4PZOQ40OfzaKChO,"Bright Yellow Gun","University","Throwing Muses",1995-01-16,223800,31,false,rwinj,2025-01-16T03:24:39Z,"riot grrrl","Woah Dad!",0.45,0.972,0,-6.073,1,0.0564,0.000153,0.000696,0.182,0.487,133.879,4
spotify:track:21F39lpBdWHu5aRy68V8xj,"American Music","Why Do Birds Sing?","Violent Femmes",1991-04-30,230573,53,false,rwinj,2025-01-16T17:25:00Z,"folk punk","Craft Recordings",0.541,0.704,0,-7.436,1,0.0453,0.086,0.0000332,0.114,0.794,133.914,4
spotify:track:4zlRCThoy7Wops9GF11kQX,"Nothing Lasts Forever","Evergreen (Expanded)","Echo & the Bunnymen",1997-01-01,235119,51,false,rwinj,2025-01-21T19:47:12Z,"new wave,post-punk,gothic rock,darkwave","London Music Stream",0.432,0.654,0,-5.345,1,0.0273,0.028,0.0000133,0.176,0.399,83.85,4
spotify:track:29sWHJusOGcENWWuFdRdWL,"Teutonic Wine","ROCKMAKER","The Dandy Warhols",2024-03-15,196833,27,false,rwinj,2025-02-17T20:59:46Z,"","Sunset Blvd Records / Beat The World",0.597,0.784,9,-7.588,0,0.0241,0.0145,0.723,0.251,0.962,107.998,4
spotify:track:701oRFDRzsz3WdhCFOtUJj,"Whipping Post","The Allman Brothers Band (Deluxe)","Allman Brothers Band",1969,317438,61,false,rwinj,2025-02-23T18:38:31Z,"southern rock,jam band,classic rock,blues rock,country rock","Island Def Jam",0.315,0.64,4,-9.256,0,0.0339,0.329,0.341,0.0879,0.583,97.968,4
spotify:track:2Yt2u7vNSCkPUy1awRFSPV,"I'm No Angel","I'm No Angel","Gregg Allman",1986,222893,53,false,rwinj,2025-02-23T18:40:59Z,"southern rock,country rock,blues,blues rock","Epic",0.621,0.773,4,-12.157,1,0.0475,0.144,0,0.161,0.856,140.748,4
spotify:track:5IGUkmuTVroDG2PnaUiNFj,"It's Tricky","Raising Hell (Expanded Edition)","Run–D.M.C.",1986-05-15,182933,71,false,rwinj,2025-02-26T21:13:29Z,"old school hip hop,east coast hip hop,hip hop","Arista/Legacy",0.965,0.918,11,-4.793,0,0.158,0.00309,0,0.0779,0.941,128.126,4
spotify:track:3q2v8QaTnHLveAQzR6gvYm,"Sing About Me I'm Dying Of Thirst","good kid m.A.A.d city (Deluxe)","Kendrick Lamar",2012,723573,66,true,rwinj,2025-02-27T18:23:31Z,"hip hop,west coast hip hop","Aftermath",0.654,0.753,8,-7.556,0,0.398,0.303,0.0000825,0.13,0.371,110.699,5
spotify:track:0eDQj41kzBhMKQIkTt6OJR,"A Certain Romance","Whatever People Say I Am That's What I'm Not","Arctic Monkeys",2006-01-29,331200,67,false,rwinj,2025-02-27T22:17:18Z,"indie,garage rock","Domino Recording Co",0.455,0.881,11,-5.587,1,0.0401,0.000566,0.0000606,0.11,0.201,137.949,4
spotify:track:29CJGwJt5wyo7Sjje87Cy8,"Lay It On The Line","Greatest Hits Remixed","Triumph",2010-05-14,246026,60,false,rwinj,2025-03-02T15:43:46Z,"aor,glam metal,arena rock,classic rock","Craft Recordings",0.228,0.872,9,-5.479,0,0.0627,0.00672,0,0.242,0.279,91.718,4
spotify:track:3pecdrUzTZjaqrw6iCLTvd,"Heart And Soul","Sports","Huey Lewis & The News",1983,253253,62,false,rwinj,2025-03-02T15:44:20Z,"","Capitol Records (CAP)",0.66,0.805,2,-8.01,1,0.0324,0.00327,0.0000143,0.0986,0.944,122.039,4
spotify:track:1d9hUvkv64Wmdu671Dydpc,"Ride Captain Ride","Open (US Internet Release)","Blues Image",1970,225560,56,false,rwinj,2025-03-03T18:00:37Z,"yacht rock","Rhino/Elektra",0.547,0.655,2,-11.707,1,0.0414,0.136,0.00737,0.116,0.649,125.545,4
spotify:track:3q7em8kVHiHpZbKQuVYwFQ,"One Way Out - Live At The Final Fillmore East Concert 1971","At Fillmore East (Deluxe Edition)","Allman Brothers Band",1971-07-01,296146,54,false,rwinj,2025-03-03T21:20:11Z,"southern rock,jam band,classic rock,blues rock,country rock","Island Def Jam",0.541,0.733,9,-9.04,1,0.0491,0.576,0.0321,0.705,0.725,106.734,4
spotify:track:3MODES4TNtygekLl146Dxd,"Ramble On - 1990 Remaster","Led Zeppelin II (1994 Remaster)","Led Zeppelin",1969-10-22,263333,74,false,rwinj,2025-03-17T16:01:22Z,"classic rock,rock,hard rock,rock and roll","Rhino Atlantic",0.468,0.607,9,-11.367,1,0.0336,0.072,0.000852,0.225,0.886,98.429,4
spotify:track:3JQMYznbHf068xIaWI9GRy,"Lucky Man - 2012 Remaster","Emerson Lake & Palmer","Emerson Lake & Palmer",1970-10-01,277653,64,false,rwinj,2025-03-05T20:17:40Z,"progressive rock,art rock","BMG Rights Management (UK) Ltd.",0.341,0.424,7,-14.158,1,0.0294,0.0912,0.0419,0.0543,0.565,154.627,3
spotify:track:5rfJ2Bq2PEL8yBjZLzouEu,"Who Can It Be Now?","Business As Usual","Men At Work",1981-11-09,201293,78,false,rwinj,2025-04-04T02:03:57Z,"","Columbia",0.805,0.479,4,-14.734,1,0.0436,0.0627,0.000143,0.104,0.962,128.411,4
spotify:track:2ECYtCiyC3zLvFTybWv75p,"Mistadobalina","I Wish My Brother George Was Here","Del The Funky Homosapien",1991-10-15,253626,55,false,rwinj,2025-03-24T17:33:21Z,"","Elektra Records",0.798,0.888,10,-4.415,0,0.16,0.104,0.00000947,0.323,0.661,99.608,4
spotify:track:3ZBzJbqwV2gQUAe4ofghOo,"Shake It Up - 2017 Remaster","Shake It Up (Expanded Edition)","The Cars",1981,211960,56,false,rwinj,2025-04-04T02:10:48Z,"power pop,new wave,classic rock","Rhino/Elektra",0.686,0.827,0,-5.738,1,0.0321,0.134,0.0000503,0.126,0.854,147.623,4
spotify:track:40YlM6odn8ArlIOzZOKl2F,"Conversation Lags","Funeral Dress","Wussy",2005-01-01,185906,9,false,rwinj,2025-04-05T00:10:16Z,"","Shake It Records",0.524,0.861,5,-4.586,1,0.0307,0.0881,0.0000726,0.259,0.682,128.604,4
spotify:track:1BrGaRE0CRUooBquwCCpfa,"The First Part","Foolish","Superchunk",1994-04-18,287000,34,false,rwinj,2025-04-05T01:52:06Z,"power pop,indie rock,alternative rock","Merge Records",0.266,0.943,9,-7.019,1,0.0474,0.00159,0.194,0.1,0.5,137.232,4
spotify:track:7nimuQXMMblgsc2o1Ddcw3,"Bruised Lung","Bruised Lung","Superchunk,Rosali",2025-03-25,264493,31,false,rwinj,2025-04-05T01:53:58Z,"power pop,indie rock,alternative rock","Merge Records",0.367,0.956,2,-4.192,1,0.0556,0.000592,0.000103,0.177,0.378,148.993,4
spotify:track:2bfqn7MKDOfnC32PPx8VCP,"Can't Believe It's Me","Uncollected Noise New York '88-'90","Galaxie 500",2024-09-20,235953,22,false,rwinj,2025-04-05T02:17:45Z,"slowcore,dream pop,shoegaze,jangle pop","20/20/20",0.392,0.616,2,-9.912,1,0.0284,0.00619,0.734,0.123,0.636,106.176,4
spotify:track:2QKmX3eS0AE5DTLhHT8F4I,"Waiting for an Alibi","Black Rose: A Rock Legend","Thin Lizzy",1979,209426,33,false,rwinj,2025-04-13T16:03:57Z,"classic rock,hard rock","Rhino/Warner Records",0.365,0.834,3,-8.507,1,0.0861,0.0691,0.00224,0.0878,0.572,148.648,4
spotify:track:6Wgst4P9SOnc6WGLtfTb1z,"How Long","Five-A-Side","Ace",1974-01-01,204226,68,false,rwinj,2025-04-22T13:25:50Z,"yacht rock,soft rock","Cavalcade Records Ltd",0.717,0.406,0,-13.954,0,0.0305,0.587,0.103,0.0869,0.703,123.213,4
spotify:track:4RqUEAv0YXitpXVDbf6nD7,"The Motorcycle Song","Alice's Restaurant","Arlo Guthrie",1967-08-28,170933,39,false,rwinj,2025-04-30T04:32:14Z,"folk,singer-songwriter,folk rock","Warner Records",0.428,0.392,6,-14.087,1,0.0384,0.695,0.000146,0.0953,0.602,152.822,4
spotify:track:6zgQ1tGvESL1hxPLnUdY82,"House We Used to Live In","Greatest Hits... Revisited","The Smithereens",2019-10-25,244173,29,false,rwinj,2025-04-30T20:39:53Z,"power pop,jangle pop,new wave","The Smithereens Record Label",0.451,0.863,8,-7.622,1,0.0326,0.00424,0.000142,0.33,0.675,139.764,4
spotify:track:6qYq6JxCTwtd3jAonVrdkF,"Garbageman","Songs The Lord Taught Us","The Cramps",1980,217026,44,false,rwinj,2025-05-01T03:50:51Z,"psychobilly,horror punk,rockabilly,deathrock,punk,proto-punk,gothic rock","EMI Records",0.56,0.966,11,-9.498,0,0.0634,0.0425,0.0967,0.168,0.389,138.874,4
spotify:track:4fhGlJhz17kmYCWqM3rKWz,"Ripeness - Alternative Version","Porcupine (Expanded; 2004 Remaster)","Echo & the Bunnymen",1983-02-04,282360,14,false,rwinj,2025-05-01T23:47:46Z,"new wave,post-punk,gothic rock,darkwave","Rhino/Warner Records",0.331,0.854,4,-7.682,0,0.0519,0.00905,0.808,0.0741,0.654,145.602,4
spotify:track:3PVVqlxFpXmU46iqAVG4Jg,"I Started Something I Couldn't Finish - 2011 Remaster","Strangeways Here We Come","The Smiths",1987-09-28,227533,57,false,rwinj,2025-05-06T22:36:19Z,"new wave,madchester,jangle pop","WM UK",0.581,0.851,6,-5.723,0,0.0336,0.112,0.00539,0.0375,0.703,135.155,4
spotify:track:4Vtl42qX97JBj68TKifBHR,"Bargain","Who's Next (Deluxe Edition)","The Who",1971-08-14,333586,52,false,rwinj,2025-05-10T00:59:09Z,"classic rock,rock","Polydor Records",0.452,0.888,3,-7.994,1,0.054,0.0169,0.00341,0.17,0.336,133.883,4
spotify:track:4nuSRdNGKLfbwXDaqexTd2,"Head Down","Superunknown (20th Anniversary)","Soundgarden",1994-03-09,369773,50,false,rwinj,2025-05-14T19:13:38Z,"grunge,post-grunge,hard rock","A&M",0.413,0.825,5,-6.347,0,0.0346,0.000135,0.252,0.108,0.565,83.185,4
spotify:track:0FqMZmwe9qJ3nR5FuYpyoY,"Same Ol' Situation (S.O.S.)","Dr. Feelgood","Mötley Crüe",1989,252906,1,false,rwinj,2025-05-14T19:17:37Z,"glam metal,hard rock,glam rock","Mötley Records",0.495,0.986,2,-3.161,1,0.131,0.0319,0.0000183,0.725,0.245,139.703,4
spotify:track:5AzpZ5ADn1AFPxcEBd2Ugf,"Don't Do Me Like That","Damn The Torpedoes (Deluxe Edition)","Tom Petty and the Heartbreakers",1979-10-19,161786,67,false,rwinj,2025-05-16T16:14:37Z,"classic rock","Geffen",0.758,0.806,0,-4.243,1,0.0279,0.213,0.0000152,0.0983,0.962,116.543,4
spotify:track:1mMYaXpT65iZDtvfRA9EkE,"Fresh","Emergency (Reissue)","Kool & The Gang",1984-11-15,266560,72,false,rwinj,2025-05-16T16:26:17Z,"disco,funk","Mercury Records",0.838,0.381,11,-16.867,0,0.0351,0.00912,0.0988,0.0364,0.95,117.708,4
spotify:track:5XtyytAig4m3HkO2XXaL9l,"Rearviewmirror - Remastered","Vs.","Pearl Jam",1993-10-19,283466,62,true,rwinj,2025-05-17T01:13:12Z,"grunge,rock,post-grunge","Epic/Legacy",0.374,0.961,11,-5.387,0,0.0656,0.00146,0.00036,0.351,0.437,158.862,4
spotify:track:608xszaAxVh4m7NcKJiAbF,"One of These Nights - 2013 Remaster","One of These Nights (2013 Remaster)","Eagles",1975-06-10,291685,79,false,rwinj,2025-05-23T01:52:19Z,"classic rock,yacht rock,soft rock","Rhino/Elektra",0.655,0.606,7,-10.385,1,0.0285,0.0603,0.0789,0.0757,0.765,110.061,4
spotify:track:0EOTFIX60ua9qt8pel84tA,"Lonesome Loser - Remastered 2022","First Under The Wire (Remastered 2022)","Little River Band",1979-07-01,241374,67,false,rwinj,2025-05-23T03:37:07Z,"yacht rock,soft rock","CAPITOL CATALOG MKT (C92)",0.453,0.59,0,-7.77,1,0.0248,0.0613,0,0.29,0.434,109.919,4
spotify:track:5V9bsImhPlSOThirjfLLU1,"Back Where You Belong","Tour De Force","38 Special",1984-01-01,269693,52,false,rwinj,2025-05-25T15:16:39Z,"southern rock,classic rock,aor","A&M",0.505,0.543,7,-13.52,1,0.0325,0.013,0.0000507,0.05,0.909,124.748,4
spotify:track:7Lv0xaP62AvXC6U2KOY7kz,"Body Electric","Body and Soul - EP","Sisters of Mercy",1984,258612,20,false,rwinj,2025-05-27T03:37:21Z,"gothic rock,darkwave,post-punk,deathrock,cold wave,new wave,gothic metal","WM UK",0.494,0.862,10,-8.995,1,0.0425,0.0000128,0.831,0.0485,0.773,157.818,4
spotify:track:7HeepmHMM5uUx8m0OkjNbd,"Thieves like Us - 2020 Digital Master","Thieves Like Us","New Order",1984-04-01,398573,32,false,rwinj,2025-05-27T04:07:36Z,"new wave,synthpop,post-punk,madchester","WM UK",0.647,0.728,0,-7.248,1,0.0282,0.00256,0.00177,0.0787,0.838,113.364,4
spotify:track:62ZYyXIsHVX5xVUj80arVu,"The Book of Love","69 Love Songs","The Magnetic Fields",1999-09-14,162413,60,false,rwinj,2025-05-28T03:11:17Z,"anti-folk","Merge Records",0.485,0.262,7,-13.286,1,0.0263,0.978,0.0000599,0.117,0.332,98.536,4
spotify:track:22reYeFPVc6i15XGmbUs7i,"Washington D.C.","69 Love Songs","The Magnetic Fields",1999-09-14,113173,32,false,rwinj,2025-05-28T03:11:41Z,"anti-folk","Merge Records",0.486,0.559,7,-5.882,1,0.136,0.86,0.00000101,0.322,0.861,94.928,4
spotify:track:758wEKVqfYopJIHYWdLVd4,"I Wanna Be Adored - Remastered 2009","The Stone Roses","The Stone Roses",1989-05-02,292800,72,false,rwinj,2025-05-29T21:30:12Z,"madchester,britpop","Sony Music UK",0.494,0.862,4,-9.158,0,0.0273,0.012,0.213,0.228,0.59,112.596,4
spotify:track:6NvRxjfYkkT2SpirAlmsjH,"No One Knows","Songs For The Deaf","Queens of the Stone Age",2002,278706,71,false,rwinj,2025-06-01T14:27:09Z,"stoner rock,alternative rock","Interscope",0.507,0.588,0,-4.881,1,0.0641,0.0359,0.000129,0.373,0.637,170.889,4
